 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:         40790        8622096  [B (java.base@17.0.2)
   2:          3304        1385688  [I (java.base@17.0.2)
   3:         30208         724992  java.lang.String (java.base@17.0.2)
   4:          3602         430200  [Ljava.lang.Object; (java.base@17.0.2)
   5:         13093         420624  [S (java.base@17.0.2)
   6:          3119         376624  java.lang.Class (java.base@17.0.2)
   7:          3744         269568  io.netty.buffer.PoolSubpage
   8:          8372         267904  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.2)
   9:           692         251584  [C (java.base@17.0.2)
  10:          3651         204456  jdk.internal.org.objectweb.asm.SymbolTable$Entry (java.base@17.0.2)
  11:          4795         153440  java.util.HashMap$Node (java.base@17.0.2)
  12:          3036         145728  java.util.HashMap (java.base@17.0.2)
  13:          2860         137280  java.util.WeakHashMap$EntryIterator (java.base@17.0.2)
  14:          3955         126560  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@17.0.2)
  15:            26         102824  [Ljava.nio.channels.SelectionKey; (java.base@17.0.2)
  16:           130          99936  [Ljdk.internal.org.objectweb.asm.SymbolTable$Entry; (java.base@17.0.2)
  17:           736          93928  [Ljava.util.HashMap$Node; (java.base@17.0.2)
  18:          1001          88088  java.lang.reflect.Method (java.base@17.0.2)
  19:          3607          86568  java.util.ArrayList (java.base@17.0.2)
  20:           160          75648  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.2)
  21:          1628          65120  java.util.LinkedHashMap$Entry (java.base@17.0.2)
  22:          2287          63784  [Ljava.lang.Class; (java.base@17.0.2)
  23:          3955          63280  java.util.concurrent.locks.ReentrantLock (java.base@17.0.2)
  24:           978          62592  java.net.URL (java.base@17.0.2)
  25:          2521          60504  java.lang.StringBuilder (java.base@17.0.2)
  26:          1024          49152  java.lang.invoke.MemberName (java.base@17.0.2)
  27:          1222          48880  java.lang.invoke.MethodType (java.base@17.0.2)
  28:           470          48880  java.util.jar.JarFile$JarFileEntry (java.base@17.0.2)
  29:           205          45920  jdk.internal.org.objectweb.asm.MethodWriter (java.base@17.0.2)
  30:          2860          45760  io.vertx.core.impl.btc.BlockedThreadChecker$1$$Lambda$87/0x0000000800d10ee0
  31:          1024          44096  [Ljava.lang.String; (java.base@17.0.2)
  32:          2736          43776  java.lang.Object (java.base@17.0.2)
  33:          2605          41680  java.util.HashSet (java.base@17.0.2)
  34:            50          28800  io.netty.util.internal.shaded.org.jctools.queues.MpscUnboundedArrayQueue
  35:            96          27648  [[S (java.base@17.0.2)
  36:           576          27648  io.netty.buffer.PoolChunkList
  37:           556          26688  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@17.0.2)
  38:           813          26016  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@17.0.2)
  39:           460          25760  jdk.internal.org.objectweb.asm.Label (java.base@17.0.2)
  40:          1065          25560  java.util.LinkedList$Node (java.base@17.0.2)
  41:           302          22952  [Ljava.lang.ref.SoftReference; (java.base@17.0.2)
  42:           591          18912  java.util.LinkedList (java.base@17.0.2)
  43:           426          17040  java.math.BigInteger (java.base@17.0.2)
  44:           710          17040  java.security.Provider$ServiceKey (java.base@17.0.2)
  45:            96          16896  [Lio.netty.buffer.PoolSubpage;
  46:           283          15848  java.util.zip.ZipFile$ZipFileInflaterInputStream (java.base@17.0.2)
  47:           283          15848  java.util.zip.ZipFile$ZipFileInputStream (java.base@17.0.2)
  48:           245          15680  java.security.Provider$Service (java.base@17.0.2)
  49:           214          15408  java.lang.reflect.Field (java.base@17.0.2)
  50:           237          15168  java.util.concurrent.ConcurrentHashMap (java.base@17.0.2)
  51:            89          13528  jdk.internal.org.objectweb.asm.ClassWriter (java.base@17.0.2)
  52:           334          13360  java.security.CodeSource (java.base@17.0.2)
  53:           333          13320  java.lang.ref.SoftReference (java.base@17.0.2)
  54:           326          13040  java.util.WeakHashMap$Entry (java.base@17.0.2)
  55:           388          12416  io.netty.util.internal.LongAdderCounter
  56:           304          12160  java.util.TreeMap$Entry (java.base@17.0.2)
  57:           506          12144  jdk.internal.org.objectweb.asm.ByteVector (java.base@17.0.2)
  58:           253          12144  jdk.internal.org.objectweb.asm.Frame (java.base@17.0.2)
