 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:         19995        2288552  [B (java.base@17.0.2)
   2:         18424         442176  java.lang.String (java.base@17.0.2)
   3:          2999         402656  [Ljava.lang.Object; (java.base@17.0.2)
   4:          3116         376288  java.lang.Class (java.base@17.0.2)
   5:          1732         341632  [I (java.base@17.0.2)
   6:          3744         269568  io.netty.buffer.PoolSubpage
   7:          8141         260512  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.2)
   8:           355         182096  [C (java.base@17.0.2)
   9:          4710         150720  java.util.HashMap$Node (java.base@17.0.2)
  10:          3955         126560  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@17.0.2)
  11:            26         102824  [Ljava.nio.channels.SelectionKey; (java.base@17.0.2)
  12:           654          87456  [Ljava.util.HashMap$Node; (java.base@17.0.2)
  13:           894          78672  java.lang.reflect.Method (java.base@17.0.2)
  14:           153          70544  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.2)
  15:          3955          63280  java.util.concurrent.locks.ReentrantLock (java.base@17.0.2)
  16:          1570          62800  java.util.LinkedHashMap$Entry (java.base@17.0.2)
  17:          2731          43696  java.lang.Object (java.base@17.0.2)
  18:          1536          42320  [Ljava.lang.Class; (java.base@17.0.2)
  19:           694          33312  java.util.HashMap (java.base@17.0.2)
  20:           787          31664  [Ljava.lang.String; (java.base@17.0.2)
  21:            50          28800  io.netty.util.internal.shaded.org.jctools.queues.MpscUnboundedArrayQueue
  22:           591          28368  java.lang.invoke.MemberName (java.base@17.0.2)
  23:           576          27648  io.netty.buffer.PoolChunkList
  24:          1065          25560  java.util.LinkedList$Node (java.base@17.0.2)
  25:           622          24880  java.lang.invoke.MethodType (java.base@17.0.2)
  26:           302          22952  [Ljava.lang.ref.SoftReference; (java.base@17.0.2)
  27:           709          22688  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@17.0.2)
  28:           589          18848  java.util.LinkedList (java.base@17.0.2)
  29:           426          17040  java.math.BigInteger (java.base@17.0.2)
